source_id,l,b,distance,X,Y,Z,Vzprime,R,pm_b,pm_l
Teutsch_61,235.375,0.145,2.978,-1.692103271166548,-2.4505536676154858,0.007536497674365541,0.8582915305625259,10.326993930667465,-0.46362533530181355,-3.854971459263597
Teutsch_8,71.86,2.424,1.982,0.616523704256927,1.8818064526072262,0.08382702757804016,1.3934818183630728,7.949115453153537,-0.5823077348635152,-7.538338483434009
Teutsch_80,317.418,-1.084,2.432,1.7903843055659965,-1.6453056905177594,-0.04600915954193579,0.011972182714271473,6.753223122761533,-0.6858024167090196,-6.571837253450511
Toepler_1,70.299,1.724,3.454,1.1638564374889515,3.2503470859331585,0.10391336549944667,-4.2059165556690505,7.877586887765116,-0.6865223002415464,-5.555452069206357
Tombaugh_1,232.339,-7.311,2.554,-1.5477778429139526,-2.0054097285953363,-0.325009327277706,-7.151411279257151,10.090075475620333,-0.6012689090044845,-4.572139552917465
Tombaugh_5,143.944,3.599,1.706,-1.376482134607676,1.0021299166016844,0.10709090757743227,-6.769801018140882,9.767627649290866,-1.5522807479328564,1.8863176226743024
Trumpler_1,128.219,-1.134,2.773,-1.7152325908196737,2.1781860310142567,-0.05487972542336442,-2.470274809700199,10.288570118243179,-0.8058348812148675,-1.4821994775407292
Trumpler_10,262.866,0.582,0.427,-0.053026492922837065,-0.4236724760437735,0.004337312750269301,-3.962137941004807,8.403655442530045,-5.645329887027964,-12.95310727018359
Trumpler_11,284.462,-4.869,3.578,0.8903373429411321,-3.452123192302451,-0.30369289141431804,-19.516220685472813,8.21150049375626,-1.5178861550988951,-7.647213294553066
Trumpler_12,283.822,-3.69,3.307,0.7884242579077891,-3.20458079360163,-0.2128323509214372,-0.5784669582939768,8.20399212227047,-0.45382146066997264,-8.21595926409801
Trumpler_14,287.411,-0.579,2.29,0.6851879264069831,-2.1849672355118814,-0.023141100503901862,-6.249918101646836,7.960577609507578,-1.2412178199718724,-6.7483889515667945
Trumpler_15,287.41,-0.371,2.599,0.7776230739045141,-2.4798830669332776,-0.016828853083909644,-6.566215403622352,7.958619700842404,-1.1201535155083073,-6.431267092148604
Trumpler_16,287.599,-0.646,2.107,0.6370176373347887,-2.0082563773879767,-0.023755559799712608,-2.591251733811021,7.960504034486649,-0.9824357151692413,-7.2418501509389355
Trumpler_17,288.686,0.424,2.709,0.8678900652907724,-2.5661345548861827,0.020046948933602676,7.511494090880218,7.90037713682117,0.020103141088524942,-5.133849745761704
Trumpler_18,290.964,-0.132,1.523,0.5448990235801039,-1.4221820378125218,-0.0035087369032873704,-8.444711657579582,7.9237467942668385,-2.1738485256579474,-6.858259882118052
Trumpler_19,290.195,2.892,2.509,0.865045102313524,-2.351755474876171,0.12658780825511434,-13.850500535545093,7.835753478534842,-1.763993708708197,-1.10639960116509
Trumpler_2,137.386,-3.977,0.71,-0.5212532830994788,0.47955201335195646,-0.049242774883282006,-6.228528779891405,8.874332290672234,-4.286471211759366,3.5743476733550876
Trumpler_20,301.472,2.201,3.392,1.7695941490107248,-2.8908873806779543,0.13027059643468467,3.919524252083316,7.177849059824755,-0.1481515754015103,-7.089737295468148
Trumpler_21,307.581,-0.284,1.326,0.8086938443081115,-1.0508315760850993,-0.006572603968251642,-2.4009968783362208,7.604246287386511,-1.5445403581672492,-4.988072105759527
Trumpler_22,314.657,-0.588,2.439,1.7141879750332052,-1.7348353122992772,-0.025029884545910944,1.0392296605867828,6.849210067887201,-0.5667862607975501,-5.752533516170611
Trumpler_23,328.855,-0.484,2.59,2.216601252867625,-1.33951475277583,-0.021878488947450366,-2.8517175148864045,6.268237926503259,-0.8520726538702033,-6.265315036648886
Trumpler_25,349.167,-1.771,2.13,2.091042442567373,-0.4001359150994585,-0.06582735258021044,-7.0664411927957405,6.26193567155132,-1.4876205445212392,-1.5522722191602543
Trumpler_26,357.53,2.855,1.524,1.520694275880725,-0.06559734429755391,0.07590820753695658,-0.44114196317382126,6.819339927565642,-0.9758558814942799,-3.050993082403914
Trumpler_28,356.014,-0.283,1.397,1.3936036927931028,-0.09710823939808548,-0.006900147812139906,2.0199724101748884,6.947061074337627,-0.7997129202102616,-2.8389497211128027
Trumpler_29,349.967,-5.129,1.488,1.4593780226705877,-0.25819425902524207,-0.1330248719731738,-2.7364063982201334,6.885859031633087,-1.6244746648434993,-1.7108673932648293
Trumpler_3,138.014,4.54,0.693,-0.5134965082528326,0.4621269854853914,0.05485445354107198,0.17223682563986253,8.865325144389322,-1.8197845599938993,-2.819617808735118
Trumpler_30,355.717,-5.263,1.346,1.3365823611253922,-0.10009892966784163,-0.12346529112438169,-5.399666646888673,7.004495848459509,-2.1648397873855187,-1.2846159464590532
Trumpler_32,17.17,1.358,1.608,1.5359049006106043,0.47456085262492753,0.03810855876218784,18.5075410212778,6.820465324748381,1.4754416272300663,0.5203268462016821
Trumpler_33,12.395,-3.213,1.455,1.418851622144214,0.3118249709193324,-0.08154990333252472,6.249720629926272,6.928396329331065,-0.1763114945056773,0.599783524609575
Trumpler_34,24.092,-1.261,,,,,,,-0.7490895623446012,-3.492571871021832
Trumpler_35,28.215,-0.041,2.784,2.453203627841889,1.3162232126366735,-0.0019921884628850547,5.956057435507112,6.032122938457534,-0.09661728070141777,-2.445332352022629
Trumpler_7,238.216,-3.325,1.712,-0.9002242769511916,-1.4528182002127605,-0.09929537133326342,-0.25876893587144423,9.354009355937555,-0.6093981232381614,-4.108665350447311
Trumpler_9,243.073,1.278,2.554,-1.1563040539589433,-2.2765394003475388,0.05696303047659964,-7.560194294971454,9.765142717870651,-1.3213016352823235,-4.387086442027663
Turner_3,12.351,-1.348,1.719,1.6787499828875085,0.3675923010528803,-0.04043924907715949,-5.790948389868328,6.671480228812585,-1.6042312344927248,-1.9801853108957335
Turner_5,264.25,11.212,0.435,-0.04275008175600317,-0.4245508621353271,0.08458131025378555,6.731330763230248,8.393177225012405,-2.189054241304616,2.2180466378474444
Turner_9,64.943,2.648,1.774,0.7505216073343481,1.605327469174279,0.0819585639468728,-5.529711167248065,7.757100217426497,-1.495330588715569,-1.9075910177248177
UBC_1,87.496,19.816,0.326,0.013399292448122348,0.3064034459274892,0.1105142097201853,6.67460817114056,8.331835061416028,3.651093625975344,2.5760352070223744
