median_y,median_vz,err
-955.0,-10.252341545322547,5.25120643486022
-810.0,-4.858864711228454,3.772021268710486
-665.0,-7.789216877379607,2.8546495351157035
-520.0,-9.770598122649886,0.6741082817231699
-375.0,-8.852255042643685,1.3626404996642811
-230.0,0.8726638532995996,0.6323682094519139
-85.0,1.4309893060495877,0.6184844750426793
60.0,2.3253449162078885,1.5110689978287701
205.0,1.2819997476258955,1.3800251023249264
350.0,0.6905919008386019,0.927957428141815
495.0,-0.13248747715521653,0.585932969195404
640.0,1.116562550586687,1.367605969239645
785.0,1.7627625461737726,1.9586303613381741
930.0,0.27220551816102834,1.960304879138775
1075.0,-0.9441206976594141,1.813901035179433
1220.0,-4.723205202919104,2.11711204770271
1365.0,4.217059936765612,8.881784197001252e-16
1510.0,4.752133607748776,2.3727357172910626
1655.0,4.93646690059498,2.288685702944366
