median_y,median_vz,err
-955.0,-11.14648316359752,3.9557452121089094
-810.0,-7.014777642422363,2.400453364750575
-665.0,-5.354137948178236,2.116279648378992
-520.0,-3.4799202256593516,2.126930757959227
-375.0,-3.783247256507409,2.3678230747362674
-230.0,2.0438640857122383,0.2784157260542133
-85.0,2.0704363638739025,0.2847845630228653
60.0,0.30958330997787664,0.9581969265894841
205.0,-0.25044024075218185,0.6604569133655881
350.0,0.4960408108023461,2.408591536266468
495.0,2.3367370736269053,2.683882649884703
640.0,0.6101683987032378,3.2970365228079226
785.0,0.7695006943479434,2.191659631161393
930.0,1.6374545726928438,1.1529112728497968
1075.0,3.2234819468030365,1.5707353441753005
1220.0,5.583175317053107,1.045167277826147
1365.0,4.186162740057844,0.31053976642475023
1510.0,4.201530884174149,0.15589701711909698
1655.0,4.12135001047162,0.2353298672461061
