median_y,median_vz,err
-955.0,-2.5527790679895177,1.270009426705221
-810.0,-1.5472591598774184,0.9404999619178437
-665.0,-1.1878013279857904,0.8080381134844632
-520.0,-3.0779395235081495,0.6063824733410129
-375.0,-4.164582273203031,0.6514783722161128
-230.0,1.947533110796108,0.32880594308920164
-85.0,1.5823995295428563,0.2692033865634921
60.0,-0.2989315134590398,0.37150692075923863
205.0,-0.577203549526059,0.42072140856513707
350.0,-0.9810319896099844,0.5396109663773629
495.0,-1.213782508601279,0.6070578798722243
640.0,-0.3741347803445369,0.5876757880236811
785.0,0.2322152577415993,0.5581025044557039
930.0,-0.028961950219752088,0.3708337920319708
1075.0,-0.5132992534783432,0.4152655233989198
1220.0,-1.0106416782872192,0.6140686206624065
1365.0,0.03626675370816192,0.735190927879339
1510.0,1.54536920449749,0.3137429934800275
1655.0,2.3607134917555164,0.20011242277937866
