median_y,median_vz,err
-955.0,1.7238638504926973,1.4775476823001905
-810.0,1.4646826843195435,1.142366124554097
-665.0,1.212204637228828,1.686001922073199
-520.0,1.825443285246996,2.3843955356987125
-375.0,2.753429763235151,1.3598088470633751
-230.0,2.790036107472403,1.3658659139127003
-85.0,2.2386071550238644,1.462499925002893
60.0,4.373940586782777,1.792340989612616
205.0,2.308298964311398,2.77904205249776
350.0,-1.4451430409411314,1.9189984670057132
495.0,1.8148381335934674,1.443388130246617
640.0,1.6337773203141468,1.286614204423681
785.0,1.1126863854368478,0.9628442289658232
930.0,1.9031907287703704,0.9006765670264143
1075.0,0.6344813855004059,1.417709477144806
1220.0,1.080505218764029,1.2464159224676563
1365.0,3.03945371334531,1.2463519203292723
1510.0,0.3978674359501309,1.5057750538361911
1655.0,0.2690755284018129,1.4048960346013626
