x,y,z
-927.2130195773757,-854.2386093789141,-20.886819092427324
-926.3695065784935,-853.73627612168,-21.00444606376073
-925.5259935796114,-853.2324407584515,-21.122778418769173
-924.6824805807292,-852.7271032892288,-21.241817753745714
-923.8389675818471,-852.2202637140124,-21.361565664226397
-922.995454582965,-851.7119220328016,-21.482023744927012
-922.1519415840828,-851.2020782455963,-21.603193589679
-921.3084285852008,-850.6907323523974,-21.725076791364778
-920.4649155863186,-850.1778843532038,-21.84767494185322
-919.6214025874365,-849.663534248016,-21.970989631933044
-918.7778895885543,-849.1476820368343,-22.095022451246855
-917.9343765896722,-848.6303277196585,-22.219774988223854
-917.09086359079,-848.1114712964882,-22.345248830012146
-916.2473505919079,-847.5911127673235,-22.47144556241021
-915.4038375930257,-847.0692521321653,-22.598366769797707
-914.5603245941436,-846.5458893910125,-22.7260140350662
-913.7168115952616,-846.0210245438655,-22.85438893954789
-912.8732985963793,-845.4946575907245,-22.98349306294506
-912.0297855974973,-844.9667885315891,-23.11332798325798
-911.1862725986151,-844.4374173664594,-23.243895276712713
-910.342759599733,-843.9065440953359,-23.375196517687186
-909.4992466008508,-843.374168718218,-23.507233278638118
-908.6557336019687,-842.8402912351057,-23.64000713002568
-907.8122206030865,-842.3049116459993,-23.773519640238632
-906.9687076042044,-841.7680299508991,-23.907772375517794
-906.1251946053223,-841.2296461498045,-24.042766899879616
-905.2816816064401,-840.6897602427152,-24.178504775038682
-904.438168607558,-840.1483722296325,-24.314987560328852
-903.5946556086759,-839.6054821105554,-24.452216812625096
-902.7511426097938,-839.0610898854839,-24.59019408626304
-901.9076296109116,-838.5151955544184,-24.7289209329589
-901.0641166120295,-837.9677991173585,-24.868398901728114
-900.2206036131473,-837.4189005743044,-25.008629538803227
-899.3770906142652,-836.8684999252562,-25.149614387551033
-898.533577615383,-836.316597170214,-25.2913549883895
-897.6900646165009,-835.7631923091774,-25.433852878702808
-896.8465516176188,-835.2082853421466,-25.577109592756678
-896.0030386187367,-834.6518762691219,-25.721126661612274
-895.1595256198545,-834.0939650901028,-25.86590561303955
-894.3160126209724,-833.5345518050892,-26.01144797142996
-893.4724996220903,-832.973636414082,-26.1577552577077
-892.6289866232081,-832.4112189170803,-26.304828989241017
-891.785473624326,-831.8472993140842,-26.452670679752202
-890.9419606254438,-831.2818776050942,-26.601281839226786
-890.0984476265617,-830.71495379011,-26.750663973821908
-889.2549346276795,-830.1465278691314,-26.900818585774253
-888.4114216287975,-829.5765998421589,-27.051747173306246
-887.5679086299153,-829.0051697091922,-27.20345123053267
-886.7243956310332,-828.4322374702313,-27.355932247365196
-885.880882632151,-827.8578031252757,-27.509191709416946
-885.0373696332689,-827.2818666743265,-27.66323109790558
-884.1938566343867,-826.704428117383,-27.818051889556152
-883.3503436355046,-826.1254874544452,-27.973655556502287
-882.5068306366225,-825.5450446855132,-28.13004356618754
-881.6633176377403,-824.9630998105872,-28.287217381264654
-880.8198046388582,-824.3796528296666,-28.44517845949509
-879.9762916399761,-823.7947037427521,-28.60392825364655
-879.132778641094,-823.2082525498436,-28.763468211390865
-878.2892656422118,-822.6202992509407,-28.923799775199733
-877.4457526433297,-822.0308438460434,-29.08492438224036
-876.6022396444475,-821.4398863351523,-29.2468434642698
-875.7587266455654,-820.8474267182669,-29.409558447528724
-874.9152136466832,-820.253464995387,-29.573070752633882
-874.0717006478011,-819.6580011665133,-29.73738179446979
-873.228187648919,-819.0610352316453,-29.902492982079472
-872.3846746500368,-818.4625671907829,-30.068405718554352
-871.5411616511547,-817.8625970439264,-30.235121400923035
-870.6976486522726,-817.2611247910761,-30.402641420039302
-869.8541356533905,-816.6581504322312,-30.570967160469092
-869.0106226545083,-816.0536739673921,-30.740100000376234
-868.1671096556262,-815.4476953965591,-30.910041311407504
-867.323596656744,-814.8402147197316,-31.08079245857698
-866.4800836578619,-814.23123193691,-31.252354800148613
-865.6365706589797,-813.6207470480945,-31.424729687518504
-864.7930576600976,-813.0087600532845,-31.597918465096114
-863.9495446612154,-812.3952709524804,-31.771922470183984
-863.1060316623334,-811.780279745682,-31.946743032856798
-862.2625186634513,-811.1637864328895,-32.12238147583967
-861.4190056645691,-810.5457910141029,-32.29883911438486
-860.575492665687,-809.926293489322,-32.476117256148044
-859.7319796668048,-809.305293858547,-32.65421720106281
-858.8884666679227,-808.6827921217778,-32.833140241214814
-858.0449536690405,-808.0587882790142,-33.01288766071494
-857.2014406701584,-807.4332823302566,-33.19346073557044
-856.3579276712762,-806.8062742755048,-33.374860733556105
-855.5144146723941,-806.1777641147587,-33.557088914084034
-854.670901673512,-805.5477518480186,-33.74014652807172
-853.8273886746299,-804.9162374752841,-33.92403481781038
-852.9838756757478,-804.2832209965557,-34.10875501683043
-852.1403626768656,-803.6487024118328,-34.294308349767995
-851.2968496779835,-803.0126817211158,-34.48069603222804
-850.4533366791013,-802.3751589244048,-34.667919270648255
-849.6098236802192,-801.7361340216994,-34.8559792621611
-848.766310681337,-801.0956070129998,-35.04487719445434
-847.9227976824549,-800.4535778983061,-35.23461424563138
-847.0792846835727,-799.8100466776182,-35.42519158406964
-846.2357716846906,-799.1650133509359,-35.616610368278145
-845.3922586858084,-798.5184779182598,-35.808871746754264
-844.5487456869263,-797.8704403795894,-36.00197685783877
-843.7052326880442,-797.2209007349247,-36.19592682956995
-842.8617196891621,-796.5698589842659,-36.39072277953689
-842.01820669028,-795.9173151276129,-36.58636581473117
-841.1746936913978,-795.2632691649655,-36.78285703139731
-840.3311806925157,-794.6077210963242,-36.9801975148828
-839.4876676936335,-793.9506709216887,-37.17838833948578
-838.6441546947515,-793.292118641059,-37.377430568302856
-837.8006416958693,-792.6320642544349,-37.577325253074655
-836.9571286969872,-791.9705077618166,-37.77807343403056
-836.113615698105,-791.3074491632044,-37.97967613973246
-835.2701026992229,-790.6428884585978,-38.182134386917
-834.4265897003407,-789.976825647997,-38.38544918033675
-833.5830767014586,-789.3092607314022,-38.58962151260006
-832.7395637025764,-788.6401937088128,-38.79465236400992
-831.8960507036943,-787.9696245802297,-39.00054270240115
-831.0525377048122,-787.2975533456522,-39.207293482976795
-830.20902470593,-786.6239800050803,-39.41490564814315
-829.3655117070479,-785.9489045585146,-39.623380127343246
-828.5219987081657,-785.2723270059546,-39.832717836889636
-827.6784857092837,-784.5942473474004,-40.04291967979543
-826.8349727104015,-783.9146655828517,-40.253986545604135
-825.9914597115194,-783.2335817123092,-40.465919310218524
-825.1479467126372,-782.5509957357724,-40.67871883572798
-824.3044337137551,-781.8669076532412,-40.89238597023437
-823.4609207148729,-781.1813174647161,-41.1069215476772
-822.6174077159908,-780.4942251701968,-41.32232638765694
-821.7738947171088,-779.8056307696834,-41.53860129525726
-820.9303817182266,-779.1155342631755,-41.75574706086587
-820.0868687193445,-778.4239356506735,-41.97376445999439
-819.2433557204623,-777.7308349321775,-42.19265425309597
-818.3998427215802,-777.036232107687,-42.41241718538315
-817.556329722698,-776.3401271772025,-42.63305398664262
-816.7128167238159,-775.6425201407237,-42.85456537105012
-815.8693037249337,-774.9434109982508,-43.076952036982924
-815.0257907260516,-774.2427997497837,-43.300214666831735
-814.1822777271694,-773.5406863953226,-43.52435392681059
-813.3387647282873,-772.8370709348669,-43.74937046676629
-812.4952517294053,-772.1319533684173,-43.97526491998506
-811.6517387305231,-771.4253336959734,-44.20203790299968
-810.808225731641,-770.7172119175355,-44.429690015393255
-809.9647127327588,-770.0075880331033,-44.65822183960343
-809.1211997338767,-769.2964620426769,-44.88763394072382
-808.2776867349945,-768.5838339462562,-45.1179268663049
-807.4341737361124,-767.8697037438415,-45.349101146152925
-806.5906607372302,-767.1540714354323,-45.58115729212816
-805.7471477383481,-766.4369370210293,-45.81409579794083
-804.9036347394659,-765.7183005006318,-46.04791713894643
-804.0601217405838,-764.9981618742404,-46.28262177193895
-803.2166087417016,-764.2765211418546,-46.51821013494347
-802.3730957428195,-763.5533783034746,-46.75468264700623
-801.5295827439375,-762.8287333591006,-46.9920397079846
-800.6860697450553,-762.1025863087323,-47.230281698334466
-799.8425567461732,-761.3749371523697,-47.469408978896645
-798.999043747291,-760.645785890013,-47.70942189068205
-798.1555307484089,-759.9151325216621,-47.95032075465492
-797.3120177495267,-759.1829770473171,-48.192105871515
-796.4685047506447,-758.4493194669781,-48.43477752147808
-795.6249917517625,-757.7141597806444,-48.6783359640552
-794.7814787528804,-756.9774979883168,-48.92278143782996
-793.9379657539982,-756.239334089995,-49.168114160235056
-793.0944527551161,-755.4996680856789,-49.41433432732668
-792.250939756234,-754.7584999753687,-49.66144211355768
-791.4074267573518,-754.0158297590644,-49.90943767154961
-790.5639137584697,-753.2716574367657,-50.15832113186253
-789.7204007595875,-752.5259830084731,-50.40809260276381
-788.8768877607054,-751.778806474186,-50.65875216999541
-788.0333747618232,-751.0301278339048,-50.910299896539456
-787.1898617629411,-750.2799470876296,-51.16273582238266
-786.346348764059,-749.52826423536,-51.41605996427852
-785.5028357651769,-748.7750792770964,-51.6702723155089
-784.6593227662947,-748.0203922128385,-51.92537284564351
-783.8158097674126,-747.2642030425864,-52.181361500297825
-782.9722967685304,-746.50651176634,-52.4382382008899
-782.1287837696483,-745.7473183840996,-52.69600284439517
-781.2852707707661,-744.9866228958649,-52.954655303100076
-780.4417577718841,-744.2244253016361,-53.21419542435395
-779.598244773002,-743.4607256014131,-53.47462303031938
-778.7547317741198,-742.6955237951959,-53.73593791772119
-777.9112187752377,-741.9288198829845,-53.99813985759353
-777.0677057763555,-741.160613864779,-54.26122859502584
-776.2241927774734,-740.390905740579,-54.52520384890683
-775.3806797785912,-739.6196955103851,-54.79006531166706
-774.5371667797091,-738.8469831741968,-55.05581264902044
-773.6936537808269,-738.0727687320143,-55.322445499703065
-772.8501407819448,-737.2970521838379,-55.58996347521163
-772.0066277830626,-736.5198335296673,-55.858366159539514
-771.1631147841805,-735.741112769502,-56.127653108911744
-770.3196017852983,-734.9608899033431,-56.397823851517884
-769.4760887864163,-734.1791649311899,-56.66887788724397
-768.6325757875342,-733.3959378530424,-56.9408146874025
-767.789062788652,-732.6112086689006,-57.21363369446066
-766.9455497897699,-731.8249773787647,-57.487334321767136
-766.1020367908877,-731.0372439826347,-57.761915953277786
-765.2585237920056,-730.2480084805104,-58.037377943279026
-764.4150107931234,-729.457270872392,-58.31371961610987
-763.5714977942413,-728.6650311582794,-58.59094026588253
-762.7279847953591,-727.8712893381723,-58.86903915620148
-761.884471796477,-727.0760454120714,-59.14801551988026
-761.0409587975948,-726.2792993799762,-59.42786855865758
-760.1974457987128,-725.4810512418869,-59.708597442911575
-759.3539327998307,-724.6813009978032,-59.990201311371784
-758.5104198009485,-723.8800486477255,-60.27267927083035
-757.6669068020664,-723.0772941916537,-60.556030395851394
-756.8233938031842,-722.2730376295874,-60.84025372847863
-755.9798808043021,-721.467278961527,-61.12534827794134
-755.1363678054199,-720.6600181874726,-61.411313020358875
-754.2928548065379,-719.851255307424,-61.69814689844381
-753.4493418076557,-719.0409903213808,-61.98584882120318
-752.6058288087736,-718.2292232293439,-62.27441766363749
-751.7623158098914,-717.4159540313126,-62.56385226644002
-750.9188028110093,-716.6011827272871,-62.854151435692096
-750.0752898121272,-715.7849093172674,-63.14531394255869
-749.231776813245,-714.9671338012536,-63.43733852298131
-748.3882638143629,-714.1478561792455,-63.73022387737014
-747.5447508154807,-713.3270764512433,-64.02396867029358
-746.7012378165986,-712.504794617247,-64.31857153016696
-745.8577248177164,-711.6810106772562,-64.61403104893948
-745.0142118188343,-710.8557246312714,-64.91034578177924
-744.1706988199521,-710.0289364792925,-65.20751424675733
-743.3271858210701,-709.2006462213194,-65.50553492452953
-742.4836728221879,-708.3708538573519,-65.80440625801697
-741.6401598233058,-707.5395593873905,-66.104126652085
-740.7966468244236,-706.7067628114346,-66.40469447322076
-739.9531338255415,-705.8724641294846,-66.70610804920834
-739.1096208266595,-705.0366633415406,-67.00836566880363
-738.2661078277772,-704.1993604476022,-67.31146558140658
-737.4225948288952,-703.3605554476699,-67.61540599673185
-736.579081830013,-702.5202483417431,-67.92018508447921
-735.7355688311309,-701.6784391298222,-68.22580097400021
-734.8920558322487,-700.8351278119071,-68.53225175396558
-734.0485428333666,-699.9903143879978,-68.83953547202916
-733.2050298344844,-699.1439988580944,-69.1476501344915
-732.3615168356023,-698.2961812221968,-69.45659370596142
-731.5180038367201,-697.446861480305,-69.7663641090161
-730.674490837838,-696.596039632419,-70.07695922385956
-729.8309778389558,-695.7437156785388,-70.38837688797967
-728.9874648400737,-694.8898896186643,-70.7006148958039
-728.1439518411917,-694.0345614527957,-71.0136709983526
-727.3004388423094,-693.177731180933,-71.32754290289216
-726.4569258434274,-692.3193988030762,-71.64222827258541
-725.6134128445452,-691.4595643192249,-71.95772472614158
-724.7698998456631,-690.5982277293795,-72.27402983746327
-723.9263868467809,-689.7353890335401,-72.59114113529363
-723.0828738478988,-688.8710482317063,-72.90905610286116
-722.2393608490166,-688.0052053238783,-73.22777217752268
-721.3958478501345,-687.1378603100563,-73.54728675040576
-720.5523348512523,-686.26901319024,-73.8675971660489
-719.7088218523702,-685.3986639644295,-74.18870072204062
-718.8653088534882,-684.526812632625,-74.51059466865708
-718.021795854606,-683.6534591948262,-74.8332762084982
-717.1782828557239,-682.7786036510329,-75.15674249612204
-716.3347698568417,-681.9022460012457,-75.48099063767829
-715.4912568579596,-681.0243862454645,-75.80601769054013
-714.6477438590774,-680.1450243836887,-76.13182066293464
-713.8042308601953,-679.2641604159189,-76.45839651357153
-712.9607178613131,-678.381794342155,-76.78574215127104
-712.117204862431,-677.4979261623967,-77.1138544345902
-711.273691863549,-676.6125558766444,-77.4427301714474
-710.4301788646668,-675.7256834848979,-77.77236611874616
-709.5866658657847,-674.8373089871573,-78.10275898199737
-708.7431528669025,-673.9474323834222,-78.43390541493973
-707.8996398680204,-673.056053673693,-78.76580201915958
-707.0561268691382,-672.1631728579698,-79.09844534370885
-706.2126138702561,-671.2687899362522,-79.43183188472219
-705.3691008713739,-670.3729049085405,-79.76595808503251
-704.5255878724918,-669.4755177748345,-80.10082033378488
-703.6820748736096,-668.5766285351344,-80.4364149660502
-702.8385618747275,-667.6762371894401,-80.77273826243658
-701.9950488758453,-666.7743437377519,-81.10978644869995
-701.1515358769632,-665.870948180069,-81.44755569535383
-700.3080228780811,-664.9660505163924,-81.78604211727654
-699.464509879199,-664.0596507467214,-82.12524177331923
-698.6209968803169,-663.1517488710563,-82.46515066591081
-697.7774838814347,-662.2423448893967,-82.80576474066302
-696.9339708825526,-661.3314388017432,-83.14707988597358
-696.0904578836705,-660.4190306080955,-83.48909193262884
-695.2469448847883,-659.5051203084533,-83.83179665340472
-694.4034318859062,-658.5897079028173,-84.17518976266675
-693.5599188870241,-657.672793391187,-84.5192669159695
-692.7164058881419,-656.7543767735626,-84.8640237096543
-691.8728928892598,-655.8344580499436,-85.20945568044613
-691.0293798903776,-654.9130372203308,-85.55555830504954
-690.1858668914955,-653.9901142847239,-85.90232699974356
-689.3423538926133,-653.0656892431223,-86.24975711997592
-688.4988408937312,-652.139762095527,-86.59784395995531
-687.655327894849,-651.2123328419373,-86.94658275224398
-686.8118148959669,-650.2834014823534,-87.29596866734872
-685.9683018970848,-649.3529680167753,-87.64599681331069
-685.1247888982027,-648.4210324452031,-87.99666223529506
-684.2812758993205,-647.4875947676367,-88.34795991517915
-683.4377629004384,-646.5526549840761,-88.69988477114023
-682.5942499015563,-645.6162130945213,-89.0524316572421
-681.7507369026741,-644.6782690989724,-89.4055953630211
-680.907223903792,-643.738822997429,-89.7593706130715
-680.0637109049098,-642.7978747898917,-90.11375206662935
-679.2201979060277,-641.8554244763602,-90.46873431715693
-678.3766849071457,-640.9114720568346,-90.82431189192516
-677.5331719082635,-639.9660175313145,-91.18047925159638
-676.6896589093814,-639.0190608998005,-91.53723078980565
-675.8461459104992,-638.0706021622923,-91.89456083274202
-675.0026329116171,-637.1206413187895,-92.25246363872915
-674.1591199127349,-636.1691783692929,-92.6109333978045
-673.3156069138528,-635.216213313802,-92.9699642312998
-672.4720939149706,-634.2617461523168,-93.32955019141875
-671.6285809160885,-633.3057768848378,-93.68968526081613
-670.7850679172063,-632.3483055113643,-94.05036335217554
-669.9415549183243,-631.3893320318966,-94.41157830778648
-669.098041919442,-630.4288564464348,-94.77332389912182
-668.25452892056,-629.4668787549788,-95.13559382641444
-667.4110159216779,-628.5033989575286,-95.49838171823332
-666.5675029227957,-627.5384170540842,-95.86168113105987
-665.7239899239136,-626.5719330446457,-96.22548554886367
-664.8804769250314,-625.603946929213,-96.5897883826779
-664.0369639261493,-624.6344587077858,-96.95458297017458
-663.1934509272671,-623.6634683803647,-97.31986257524005
-662.349937928385,-622.6909759469493,-97.68562038754968
-661.5064249295028,-621.7169814075396,-98.05184952214276
-660.6629119306207,-620.741484762136,-98.41854301899752
-659.8193989317385,-619.7644860107382,-98.78569384260595
-658.9758859328565,-618.7859851533462,-99.15329488154836
-658.1323729339742,-617.8059821899596,-99.52133894806843
-657.2888599350922,-616.8244771205793,-99.88981877764769
-656.4453469362101,-615.8414699452046,-100.25872702858143
-655.6018339373279,-614.8569606638357,-100.6280562815528
-654.7583209384459,-613.8709492764729,-100.99779903920881
-653.9148079395636,-612.8834357831156,-101.367947725736
-653.0712949406816,-611.8944201837642,-101.73849468643581
-652.2277819417994,-610.9039024784186,-102.10943218730122
-651.3842689429173,-609.9118826670788,-102.48075241459279
-650.5407559440351,-608.9183607497448,-102.85244747441612
-649.697242945153,-607.9233367264164,-103.22450939229884
-648.8537299462708,-606.9268105970941,-103.59693011276842
-648.0102169473887,-605.9287823617776,-103.96970149893069
-647.1667039485066,-604.9292520204667,-104.34281533204889
-646.3231909496244,-603.9282195731619,-104.71626331112267
-645.4796779507423,-602.9256850198628,-105.09003705246877
-644.6361649518601,-601.9216483605694,-105.46412808930204
-643.7926519529781,-600.916109595282,-105.83852787131637
-642.9491389540958,-599.9090687240002,-106.21322776426813
-642.1056259552138,-598.9005257467245,-106.58821904955835
-641.2621129563316,-597.8904806634544,-106.96349292381804
-640.4185999574495,-596.87893347419,-107.33904049849254
-639.5750869585673,-595.8658841789315,-107.71485279942799
-638.7315739596852,-594.8513327776789,-108.09092076645857
-637.888060960803,-593.835279270432,-108.4672352529945
-637.0445479619209,-592.8177236571912,-108.84378702561189
-636.2010349630389,-591.798665937956,-109.22056676364318
-635.3575219641567,-590.7781061127264,-109.59756505876895
-634.5140089652746,-589.7560441815028,-109.9747724146113
-633.6704959663924,-588.7324801442851,-110.35217924632835
-632.8269829675103,-587.7074140010732,-110.72977588021064
-631.9834699686281,-586.6808457518671,-111.10755255327791
-631.139956969746,-585.6527753966668,-111.48549941287887
-630.2964439708638,-584.6232029354721,-111.86360651629145
-629.4529309719817,-583.5921283682833,-112.24186383032516
-628.6094179730995,-582.5595516951005,-112.62026123092507
-627.7659049742174,-581.5254729159233,-112.99878850277797
-626.9223919753354,-580.4898920307521,-113.37743533891928
-626.0788789764531,-579.4528090395866,-113.75619134034349
-625.2353659775711,-578.414223942427,-114.13504601561475
-624.3918529786889,-577.3741367392731,-114.51398878048111
-623.5483399798068,-576.332547430125,-114.8930089574898
-622.7048269809246,-575.2894560149828,-115.27209577560481
-621.8613139820425,-574.2448624938463,-115.65123836982735
-621.0178009831603,-573.1987668667157,-116.0304257808178
-620.1742879842782,-572.1511691335909,-116.40964695452026
-619.330774985396,-571.1020692944719,-116.78889074178998
-618.4872619865139,-570.0514673493587,-117.16814589802246
-617.6437489876317,-568.9993632982514,-117.54740108278587
-616.8002359887496,-567.9457571411497,-117.92664485945559
-615.9567229898676,-566.8906488780542,-118.30586569485156
-615.1132099909854,-565.8340385089641,-118.68505195887906
-614.2696969921033,-564.7759260338801,-119.06419192417079
-613.4261839932211,-563.7163114528016,-119.44327376573372
-612.582670994339,-562.6551947657292,-119.82228556059758
-611.7391579954569,-561.5925759726626,-120.2012152874669
-610.8956449965747,-560.5284550736017,-120.58005082637676
-610.0521319976926,-559.4628320685465,-120.95877995835016
-609.2086189988105,-558.3957069574974,-121.33739036506061
-608.3651059999283,-557.3270797404539,-121.71586962849703
-607.5215930010462,-556.2569504174162,-122.09420523063194
-606.678080002164,-555.1853189883843,-122.47238455309376
-605.8345670032819,-554.1121854533585,-122.85039487684271
-604.9910540043998,-553.037549812338,-123.2282233818501
-604.1475410055176,-551.9614120653237,-123.60585714678106
-603.3040280066355,-550.8837722123151,-123.9832831486824
-602.4605150077533,-549.8046302533123,-124.36048826267294
-601.6170020088712,-548.7239861883154,-124.73745926163917
-600.7734890099891,-547.6418400173243,-125.11418281593377
-599.9299760111069,-546.5581917403388,-125.49064549307958
-599.0864630122248,-545.4730413573593,-125.86683375747684
-598.2429500133427,-544.3863888683857,-126.24273397011564
-597.3994370144605,-543.2982342734178,-126.61833238829232
-596.5559240155785,-542.2085775724559,-126.99361516533061
-595.7124110166963,-541.1174187654995,-127.3685683503076
-594.8688980178142,-540.0247578525489,-127.7431778877838
-594.0253850189321,-538.9305948336043,-128.1174296175392
-593.1818720200499,-537.8349297086654,-128.49130927431318
-592.3383590211678,-536.7377624777323,-128.8648024875501
-591.4948460222856,-535.6390931408052,-129.23789478114978
-590.6513330234035,-534.5389216978836,-129.61057157322318
-589.8078200245213,-533.4372481489681,-129.98281817585354
-588.9643070256392,-532.3340724940583,-130.35461979486305
-588.120794026757,-531.2293947331541,-130.72596152958477
-587.2772810278749,-530.1232148662559,-131.09682837264
-586.4337680289927,-529.0155328933636,-131.46720520972235
-585.5902550301107,-527.9063488144773,-131.8370768193866
-584.7467420312285,-526.7956626295963,-132.20642787284396
-583.9032290323464,-525.6834743387215,-132.57524293376315
-583.0597160334643,-524.5697839418524,-132.94350645807793
-582.2162030345821,-523.4545914389889,-133.31120279380096
-581.3726900357,-522.3378968301315,-133.67831618084324
-580.5291770368178,-521.2197001152799,-134.04483075084124
-579.6856640379357,-520.1000012944339,-134.41073052698948
-578.8421510390535,-518.9788003675937,-134.77599942388042
-577.9986380401714,-517.8560973347596,-135.14062124735105
-577.1551250412892,-516.7318921959311,-135.5045796943364
-576.3116120424071,-515.6061849511084,-135.86785835273
-575.468099043525,-514.4789756002915,-136.2304407012512
-574.6245860446429,-513.3502641434807,-136.59231010932055
-573.7810730457606,-512.2200505806752,-136.95344983694207
-572.9375600468786,-511.088334911876,-137.3138430345922
-572.0940470479965,-509.9551171370824,-137.67347274311834
-571.2505340491143,-508.82039725629465,-138.0323218936429
-570.4070210502322,-507.6841752695127,-138.39037330747684
-569.56350805135,-506.5464511767366,-138.74760969604043
-568.7199950524679,-505.40722497796605,-139.10401366079202
-567.8764820535857,-504.2664966732016,-139.45956769316544
-567.0329690547036,-503.1242662624429,-139.81425417451547
-566.1894560558214,-501.98053374568985,-140.16805537607186
-565.3459430569394,-500.83529912294284,-140.52095345890177
-564.5024300580574,-499.68856239420165,-140.87293047388115
-563.6589170591751,-498.54032355946606,-141.22396836167488
-562.8154040602931,-497.3905826187365,-141.5740489527254
-561.9718910614108,-496.23933957201257,-141.92315396725178
-561.1283780625288,-495.08659441929467,-142.27126501525595
-560.2848650636466,-493.93234716058237,-142.61836359654043
-559.4413520647645,-492.7765977958759,-142.96443110073403
-558.5978390658823,-491.61934632517523,-143.3094488073276
-557.7543260670002,-490.4605927484806,-143.65339788571993
-556.910813068118,-489.3003370657914,-143.9962593952731
-556.0673000692359,-488.1385792771082,-144.33801428537788
-555.2237870703539,-486.97531938243105,-144.67864339552924
-554.3802740714716,-485.8105573817593,-145.01812745541292
-553.5367610725896,-484.64429327509356,-145.35644708500075
